timestamp,username,user_id,source_chat,message_id,message,stage,status,matched_keyword,lead_tag,deleted
2026-04-23T18:46:57,iaroslava_marketolog,5869300368,@top1_biznes,,"#ищу #дизайнер  Ищу дизайнера на Tilda  Задачи - создавать дизайн и собирать лендинги на Tilda для школы  Желательно: у вас есть опыт работы с образовательными учреждениями (университеты и тп), в сфере коучинга и онлайн-школ  Круто, если вы раотали с ""премиальным"" дизайном  Важно: у вас ИП (не самозанятость)  Пишите в личку и скидывайте ваши кейсы",stage1,dry_run_detected_no_dm,лендинг,,1
2026-04-23T18:49:21,velizhantsev,243972175,-1002002188350|comments_for=@betin_marketolog,,"У меня такой же товарищ копирайтер есть, говорит что «те кому нужен смысл - прототипы сайтов, проезы, экспертные статья и тд всё также обращаются»  А вообще он возглавил использование ИИ с надеждой что облегчит себе работу, но понял что это оправдано только серий статей например, в этом случае его реально обучить и он дейтствительно может быть полезен, но на одноразовых проектах не использует потому что «устал на него орать» из за постоянно потери контекста и галюцинирования)",stage1,dry_run_detected_no_dm,сайт,,1
2026-04-26T12:11:07,kutepovs,838960628,-1002129655155|comments_for=@directologika,,"Конверсионные сайты, реклама, беляши чебуреки горячие )  Да, время - ценнейший ресурс, жить хочется. Когда-то нужно придти к тому, чтобы делегировать. Пока все сам, но скоро уже буду думать о помощниках)",stage1,dry_run_detected_no_dm,сайт,,1
2026-04-26T12:11:07,julien_gun,279144227,-1002129655155|comments_for=@directologika,,"Доброго дня) Хочу быть помощником опытного директолога 👀  Опыт есть в сфере fashion: 4 года была админом на сайте, 1 год в рекламе.   Последний год упор делала на tg ads, проходила сертификацию от Magnetto Pro. С директом я ебусь с августа прошлого года - иногда удачно, иногда не очень. Вопросы у меня есть, а вот опытных людей, которым их можно задать - нету 🥺  Я готова работать постоянно, интересует частичная занятость за деньгу (как раз ищу подработку)  Могу делать ровно то, что скажут, но предпочитаю думать и задавать вопросы.",stage1,dry_run_detected_no_dm,сайт,,1
2026-04-26T12:11:07,kbksyu,677254895,-1002129655155|comments_for=@directologika,,"Я немного про другое)  Меня зовут Ксения, я бизнес-ассистент, я работаю с Романом — он маркетолог, занимается привлечением клиентов и выстраиванием воронок и тд.  Чуть подробнее про идею: если у тебя бывают ситуации, когда по какой-то причине не берёшь проект (например, нужен сайт/воронка или просто не твой формат), ты можешь передать его нам — мы полностью берём работу на себя, а тебе платим 10–20% с проекта.  Часто реклама не окупается не из-за трафика, а из-за слабого сайта — мы это закрываем и делаем лендинги под рекламу за 3–7 дней с упором на конверсию.  Тебе в целом такой формат партнёрства откликается?  Подробнее о моем предложении: https://partners.consasites.ru  Часть наших кейсов:  1. https://salt.consasites.ru/ 2. http://geometria-mos.ru (теманая версия: https://pro.geometria-mos.ru) 3. http://gs-ai.online 4. https://km.consasites.ru 5. https://the-udm.com 6. https://beast-scale.com 7. https://v1.consasites.ru 8. https://prof-commerce.ru",stage1,dry_run_detected_no_dm,нужен сайт,,1
2026-04-27T20:08:59,ivan_philippovs,305072978,@surgaychat2,,"Всем привет!  Нужен аудит многостраничного сайта для компании по ремонту квартир + консультация по доработке и улучшению сайта.  Напишите, пожалуйста, в лс с примерами работ по сайтам и с ценами на аудит и консультацию.",stage1,dry_run_detected_no_dm,сайт,,1
2026-04-27T20:10:30,maxkoncept,765508851,-1001627541752,,Коллеги привет . Ищу Специалиста или команду кто именно опыт (это очень важно) в продвижении бьюти бизнеса . Конкретно - проведение мастер классов по макияжу для себя в Москве в мини группах. Если есть опыт в этом и понимание как работать с этим рынком пишите в личку . Из того что готово сейчас - лендинг под этот продукт.,stage1,dry_run_detected_no_dm,лендинг,,1
2026-04-27T20:10:30,hfnik,428181237,-1001627541752,,"Коллеги всех приветствую!  Ищу дизайнера для посадок, 2 типа - квизы и лендинг  От меня: ТЗ с разложенной структурой и смыслами по блокам  От Диза: Визуал + сверстать это все на тильде 🤝  Если знаете такого буду рад если поделитесь контактом или откликнетесь.",stage1,dry_run_detected_no_dm,лендинг,,1
2026-04-27T20:10:31,TZverev0,8409403606,-1003725243195,,"Доброе утро) Я ищу партнёра маркетолога. У вас бывают клиенты, которым нужна разработка сайта?",stage1,dry_run_detected_no_dm,сайт,,1
2026-04-27T20:10:37,ivan_philippovs,305072978,-1001659273106,,"Всем привет!  Нужен аудит многостраничного сайта для компании по ремонту квартир + консультация по доработке и улучшению сайта.  Напишите, пожалуйста, в лс с примерами работ по сайтам и с ценами на аудит и консультацию.",stage1,skip_already_contacted,сайт,,1
